total_bill,tip,sex,smoker,day,time,size,tip_percentage,bill_per_person,total_amount
16.99,1.01,Female,No,Sun,Dinner,2,5.94,8.49,18.0
10.34,1.66,Male,No,Sun,Dinner,3,16.05,3.45,12.0
21.01,3.5,Male,No,Sun,Dinner,3,16.66,7.0,24.51
23.68,3.31,Male,No,Sun,Dinner,2,13.98,11.84,26.99
24.59,3.61,Female,No,Sun,Dinner,4,14.68,6.15,28.2
25.29,4.71,Male,No,Sun,Dinner,4,18.62,6.32,30.0
8.77,2.0,Male,No,Sun,Dinner,2,22.81,4.38,10.77
26.88,3.12,Male,No,Sun,Dinner,4,11.61,6.72,30.0
15.04,1.96,Male,No,Sun,Dinner,2,13.03,7.52,17.0
14.78,3.23,Female,No,Thu,Lunch,2,21.85,7.39,18.009999999999998
21.85,5.25,Male,No,Thur,Lunch,2,24.03,10.92,27.1
12.02,0.74,Female,No,Sun,Dinner,3,6.16,4.01,12.76
5.93,1.45,Female,No,Fri,Dinner,4,24.45,1.48,7.38
13.25,1.47,Female,Yes,Thur,Lunch,3,11.09,4.42,14.72
32.53,2.53,Female,No,Sat,Dinner,6,7.78,5.42,35.06
40.33,3.63,Male,No,Thur,Lunch,5,9.0,8.07,43.96
32.34,2.72,Male,Yes,Thur,Dinner,6,8.41,5.39,35.06
41.38,4.59,Male,Yes,Sun,Lunch,4,11.09,10.34,45.97
10.49,1.56,Male,Yes,Thur,Dinner,2,14.87,5.24,12.05
34.81,3.91,Female,Yes,Sun,Dinner,5,11.23,6.96,38.72
48.63,9.97,Female,No,Sun,Dinner,6,20.5,8.1,58.6
13.82,0.82,Female,No,Thur,Dinner,5,5.93,2.76,14.64
31.4,7.63,Female,No,Thur,Lunch,5,24.3,6.28,39.03
8.35,2.07,Female,No,Sun,Dinner,3,24.79,2.78,10.42
13.95,2.68,Male,No,Thur,Dinner,2,19.21,6.98,16.63
10.21,2.27,Female,No,Thur,Dinner,6,22.23,1.7,12.48
19.63,3.85,Female,Yes,Sat,Lunch,3,19.61,6.54,23.48
10.38,2.0,Male,No,Sat,Lunch,6,19.27,1.73,12.38
27.22,4.21,Male,Yes,Sun,Lunch,3,15.47,9.07,31.43
6.41,1.14,Female,No,Sun,Dinner,5,17.78,1.28,7.55
16.22,2.14,Male,Yes,Thur,Dinner,3,13.19,5.41,18.36
